chargeDeviceID,reference,name,latitude,longitude,subBuildingName,buildingName,buildingNumber,thoroughfare,street,doubleDependantLocality,dependantLocality,town,county,postcode,countryCode,uprn,deviceDescription,locationShortDescription,locationLongDescription,deviceManufacturer,deviceModel,deviceOwnerName,deviceOwnerWebsite,deviceOwnerTelephoneNo,deviceOwnerContactName,deviceControllerName,deviceControllerWebsite,deviceControllerTelephoneNo,deviceControllerContactName,deviceNetworks,chargeDeviceStatus,publishStatus,deviceValidated,dateCreated,dateUpdated,moderated,lastUpdated,lastUpdatedBy,attribution,dateDeleted,paymentRequired,paymentRequiredDetails,subscriptionRequired,subscriptionRequiredDetails,parkingFeesFlag,parkingFeesDetails,parkingFeesUrl,accessRestrictionFlag,accessRestrictionDetails,physicalRestrictionFlag,physicalRestrictionText,onStreetFlag,locationType,bearing,access24Hours,accessMondayFrom,accessMondayTo,accessTuesdayFrom,accessTuesdayTo,accessWednesdayFrom,accessWednesdayTo,accessThursdayFrom,accessThursdayTo,accessFridayFrom,accessFridayTo,accessSaturdayFrom,accessSaturdayTo,accessSundayFrom,accessSundayTo,connector1ID,connector1Type,connector1RatedOutputKW,connector1OutputCurrent,connector1RatedVoltage,connector1ChargeMethod,connector1ChargeMode,connector1TetheredCable,connector1Status,connector1Description,connector1Validated,connector2ID,connector2Type,connector2RatedOutputKW,connector2OutputCurrent,connector2RatedVoltage,connector2ChargeMethod,connector2ChargeMode,connector2TetheredCable,connector2Status,connector2Description,connector2Validated,connector3ID,connector3Type,connector3RatedOutputKW,connector3OutputCurrent,connector3RatedVoltage,connector3ChargeMethod,connector3ChargeMode,connector3TetheredCable,connector3Status,connector3Description,connector3Validated,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110
ce627bf900500eaedade86284e9c171c,Zack-Ella,Walkergate Health Centre,54.986205,-1.560457,,,,Walkergate Health Centre,,Benfield Road,Newcastle,Newcastle upon Tyne,,NE6 4QD,gb,,,Newcastle,Walkergate Health Centre,,,POD Point,http://pod-point.com,020 7247 4114,,POD Point,http://pod-point.com,020 7247 4114,,POD Point,In service,Published,0,25-09-2013 13:40,08-12-2019 10:46,Y,08-12-2019 10:46,NCR Admin,POD Point,,1.0,,1.0,,0.0,,,1.0,Parking for employees and visitors only ,0.0,,1.0,Other,,,,,,,,,,,,,,,,,53972.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,53973.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
631d68dbc136873f091d6049807c09ae,CYC21121,Town Centre Citroen,54.913964,-1.45873,,,,Town Centre Citroen,,Ferryboat Lane,Sunderland,Sunderland,Tyne and Wear,SR5 3JN,gb,,,Sunderland,Town Centre Citroen,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,08-12-2019 10:52,Y,08-12-2019 10:52,NCR Admin,Charge Your Car,,1.0,,1.0,,0.0,,,1.0,Parking for employees and visitors only ,0.0,,1.0,Other,,,,,,,,,,,,,,,,,53974.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,53975.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
c3489537e72478d37e99d662c53be24b,CYC21122,Cawledge Business Park,55.397804,-1.692786,,,,Cawledge Business Park,,,Alnwick,Alnwick,Northumberland,NE66 2GB,gb,,,Alnwick,Cawledge Business Park,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,08-12-2019 10:52,Y,08-12-2019 10:52,NCR Admin,Charge Your Car,,1.0,,1.0,,0.0,,,1.0,Parking for employees and visitors only ,0.0,,1.0,Other,,,,,,,,,,,,,,,,,53976.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,53977.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
92e9ee85b2a0843ab8dfe06a2e51adee,CYC21123,Cawledge Business Park,55.397904,-1.692986,,,,Cawledge Business Park,,,Alnwick,Alnwick,Northumberland,NE66 2GB,gb,,,Alnwick,Cawledge Business Park,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,08-12-2019 10:52,Y,08-12-2019 10:52,NCR Admin,Charge Your Car,,1.0,,1.0,,0.0,,,1.0,Parking for employees and visitors only ,0.0,,1.0,Other,,,,,,,,,,,,,,,,,53978.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,53979.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
7a830b9099d2e43368b1f70412ca5cd6,CYC21124,Appleyard Motors Alma Place,54.781927,-1.53846,,,,Appleyard Motors Alma Place,,,Gilegate,Durham,County Durham,DH1 2HN`,gb,,,Gilegate,Appleyard Motors Alma Place,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,29-07-2021 14:04,N,,,Charge Your Car,,1.0,,1.0,,0.0,,,0.0,,,,,Other,,,,,,,,,,,,,,,,,53980.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5990653da56b4075bff360efcc52383f,CYC21125,Woodhorn Museum,55.188933,-1.549573,,,,Woodhorn Museum,,QEII Country Park,Ashington,Ashington,Northumberland,NE63 9YF,gb,,,Ashington,Woodhorn Museum,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,08-12-2019 10:53,Y,08-12-2019 10:53,NCR Admin,Charge Your Car,,1.0,,1.0,,0.0,,,1.0,Parking for employees and visitors only ,0.0,,1.0,Other,,,,,,,,,,,,,,,,,53981.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,53982.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
33a4315c94f5a3ff05b17129a296a733,CYC21126,Minories Sunderland,54.919283,-1.383822,,,,Minories Sunderland,,Newcastle Road,Sunderland,Sunderland,,SR5 1JE,gb,,,Sunderland,Minories Sunderland,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,08-12-2019 10:54,Y,08-12-2019 10:54,NCR Admin,Charge Your Car,,1.0,,1.0,,0.0,,,1.0,Parking for employees and visitors only ,0.0,,1.0,Other,,,,,,,,,,,,,,,,,53983.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,53984.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
1203cc3f3328867009eb7d59cf5e12f6,CYC21127,Hetton Centre,54.821064,-1.454754,,,,Hetton Centre,,Welfare Road,Hetton Le Hole,Houghton le Spring,Tyne and Wear,DH5 9NE,gb,,,Hetton Le Hole,Hetton Centre,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,08-12-2019 10:55,Y,08-12-2019 10:55,NCR Admin,Charge Your Car,,1.0,,1.0,,0.0,,,1.0,Parking for employees and visitors only ,0.0,,1.0,Other,,,,,,,,,,,,,,,,,53985.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,53986.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
351b6724e9da25bca879759d192c0f25,CYC21128,Biddick Arts Centre,54.885955,-1.519224,,,,Biddick Arts Centre,,Fatfield,Washington,Washington,Tyne and Wear,NE38 8EB,gb,,,Washington,Biddick Arts Centre,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,08-12-2019 10:58,Y,08-12-2019 10:58,NCR Admin,Charge Your Car,,1.0,,1.0,,0.0,,,1.0,Parking for employees and visitors only ,0.0,,1.0,Other,,,,,,,,,,,,,,,,,53987.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,53988.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
93c442d40a4e0b6f829a28aabbf07fc1,CYC21129,Bunnyhill Centre,54.925963,-1.446926,,,,Bunnyhill Centre,,Hylton Lane,Sunderland,Sunderland,Tyne and Wear,SR2 7DN,gb,,,Sunderland,Bunnyhill Centre,,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,25-09-2013 13:40,08-12-2019 11:00,Y,08-12-2019 10:59,NCR Admin,Charge Your Car,,1.0,,1.0,,0.0,,,1.0,Parking for employees and visitors only ,0.0,,1.0,Other,,,,,,,,,,,,,,,,,53989.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,53990.0,Type 2 Mennekes (IEC62196),7.0,32.0,230.0,Single Phase AC,3.0,0.0,In service,,0.0,,,,,,,,,,,,,,,,,,,
